variable_id,source_domain,name,primary_research_domain,secondary_research_domains,default_method_families,timing,preferred_source,measurement_requirements,inference_boundary
EDU-007,Education,Counselling availability/use,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,school/EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
EDU-008,Education,School social-transition status,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,school/participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
EDU-009,Education,Attendance,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,education record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
EDU-010,Education,Academic attainment,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,education record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
EDU-011,Education,School change,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,education record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
EDU-012,Education,Safeguarding events,EDUCATION_POLICY,,DIFFERENCE_IN_DIFFERENCES;MULTILEVEL_HIERARCHICAL_MODEL;INTERRUPTED_TIME_SERIES,Repeated,education/social care,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-001,Cultural/religious/socioeconomic,Ethnicity/cultural background,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Baseline,PRO/admin,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
SOC-002,Cultural/religious/socioeconomic,Religion/belief where voluntarily provided,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-003,Cultural/religious/socioeconomic,Religious practice intensity,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-004,Cultural/religious/socioeconomic,Community attitudes,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,area/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-005,Cultural/religious/socioeconomic,Area deprivation,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,postcode-derived,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-006,Cultural/religious/socioeconomic,Household income band,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,PRO/admin,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-007,Cultural/religious/socioeconomic,Housing instability,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,admin/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-008,Cultural/religious/socioeconomic,Urban/rural setting,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,postcode-derived,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-009,Cultural/religious/socioeconomic,Local political/policy context,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,public records,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
SOC-010,Cultural/religious/socioeconomic,Community social support,POPULATION_EPIDEMIOLOGY,PUBLIC_DISCOURSE,MULTILEVEL_HIERARCHICAL_MODEL;CALIBRATION_WEIGHTING_SURVEY;SPATIAL_EPIDEMIOLOGY,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MIN-001,Minority stress/discrimination,Direct discrimination events,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO/admin,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-002,Minority stress/discrimination,Anticipated stigma,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-003,Minority stress/discrimination,Concealment pressure,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-004,Minority stress/discrimination,Identity-related rejection,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-005,Minority stress/discrimination,Identity-related violence,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO/admin,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-006,Minority stress/discrimination,Internalised stigma,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-007,Minority stress/discrimination,Affirming social support,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Repeated,PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MIN-008,Minority stress/discrimination,Discrimination timing relative to distress,PSYCHIATRIC_PSYCHOLOGICAL,POPULATION_EPIDEMIOLOGY,MULTILEVEL_HIERARCHICAL_MODEL;CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS;QUALITATIVE_COMPARATIVE_ANALYSIS,Analysis,derived,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Not evidence of causation by itself
MKT-001,Marketing/media/advocacy,Commercial advertising impressions,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,platform/ad archive,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-002,Marketing/media/advocacy,Healthcare provider marketing exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,digital/public,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-003,Marketing/media/advocacy,Influencer sponsorship exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,digital,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-004,Marketing/media/advocacy,Advocacy campaign exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,digital/public,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-005,Marketing/media/advocacy,Mainstream news exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,digital/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-006,Marketing/media/advocacy,Entertainment media exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,digital/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-007,Marketing/media/advocacy,Message framing category,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,content coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-008,Marketing/media/advocacy,Authority cue presence,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,content coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-009,Marketing/media/advocacy,Emotional framing intensity,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,content coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-010,Marketing/media/advocacy,Targeted versus incidental exposure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,platform export,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-011,Marketing/media/advocacy,Engagement response,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,platform export,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
MKT-012,Marketing/media/advocacy,Commercial conflict/sponsorship disclosure,PUBLIC_DISCOURSE,DIGITAL_MEDIA_PEER,QUANTITATIVE_CONTENT_ANALYSIS;FRAME_ANALYSIS;CORPUS_LINGUISTICS,Repeated,public records,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-001,Healthcare pathway,Date of first healthcare presentation,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Historical,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
HC-002,Healthcare pathway,Referral source,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Historical,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
HC-003,Healthcare pathway,Waiting time to specialist assessment,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-004,Healthcare pathway,Pre-referral mental-health care,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Historical,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
HC-005,Healthcare pathway,Diagnostic framework used,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-006,Healthcare pathway,Assessment duration,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-007,Healthcare pathway,Number/profession of assessors,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-008,Healthcare pathway,MDT review present,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-009,Healthcare pathway,Psychiatric assessment completeness,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-010,Healthcare pathway,Neurodevelopmental assessment completeness,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-011,Healthcare pathway,Differential diagnoses considered,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-012,Healthcare pathway,Biopsychosocial formulation documented,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-013,Healthcare pathway,Validated instruments used,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-014,Healthcare pathway,Social-transition advice,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-015,Healthcare pathway,Psychological intervention,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-016,Healthcare pathway,Endocrine referral,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-017,Healthcare pathway,Hormonal treatment exposure,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-018,Healthcare pathway,Surgical treatment exposure,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-019,Healthcare pathway,Consent process completeness,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-020,Healthcare pathway,Follow-up intensity,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-021,Healthcare pathway,Outcome measurement completeness,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
HC-022,Healthcare pathway,Treatment discontinuation/change,SERVICE_REFERRAL_ASCERTAINMENT,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;STANDARDISATION_DECOMPOSITION;TARGET_TRIAL_EMULATION,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-001,Clinician,Clinician profession/specialty,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,workforce data,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-002,Clinician,Years of clinical experience,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,workforce data,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-003,Clinician,Gender-service case volume,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,service data,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-004,Clinician,Assessment time available,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,service data,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-005,Clinician,Clinical supervision frequency,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,service data,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
CLN-006,Clinician,Guideline/service-specification version used,PROFESSIONAL_GUIDELINE,CLINICAL_DEVELOPMENTAL,MULTILEVEL_HIERARCHICAL_MODEL;RANDOMISED_AB_TEST;PROCESS_TRACING,Repeated,EHR/service,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
