variable_id,variable_domain,variable_name,preferred_source_declared_in_ontology,primary_source_ids,secondary_source_ids,primary_source_data_types,access_classes,acquisition_phase,timing_requirement,sensitivity,linkage_note
DIG-020,Digital/social media,Platform recommender-system change date,public/platform record,DS022;DS023;DS024,DS025;DS026;DS027,"Children/parent media use, platforms, behaviours, attitudes | Online safety tracker; passive measurement; insight panel; media-use datasets | Aggregated search interest by term, time and region",APPLICATION_API;MIXED_ACCESS;OPEN;PUBLIC_API_LIMITED;RESTRICTED_API;RESTRICTED_RESEARCH_API,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-001,Education,School type,education record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-002,Education,School gender/sex policy version,school record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-003,Education,Curriculum exposure to gender/identity content,school record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-004,Education,Teacher/staff training exposure,school record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-005,Education,School peer climate,school/PRO,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-006,Education,School bullying policy,school record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-007,Education,Counselling availability/use,school/EHR,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-008,Education,School social-transition status,school/participant,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-009,Education,Attendance,education record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-010,Education,Academic attainment,education record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-011,Education,School change,education record,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
EDU-012,Education,Safeguarding events,education/social care,DS016;DS054;DS055;DS056,DS057;DS018;DS013,"Attainment; demographics; absence/exclusion; children in need/looked after | Relationships/sex/health education guidance and versions | Annual statutory safeguarding guidance, consultation responses, versions | School RSHE policies, safeguarding policies, curriculum materials, external-provider materials",MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-001,Cultural/religious/socioeconomic,Ethnicity/cultural background,PRO/admin,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-002,Cultural/religious/socioeconomic,Religion/belief where voluntarily provided,PRO,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-003,Cultural/religious/socioeconomic,Religious practice intensity,PRO,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-004,Cultural/religious/socioeconomic,Community attitudes,area/PRO,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-005,Cultural/religious/socioeconomic,Area deprivation,postcode-derived,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-006,Cultural/religious/socioeconomic,Household income band,PRO/admin,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-007,Cultural/religious/socioeconomic,Housing instability,admin/PRO,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-008,Cultural/religious/socioeconomic,Urban/rural setting,postcode-derived,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-009,Cultural/religious/socioeconomic,Local political/policy context,public records,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
SOC-010,Cultural/religious/socioeconomic,Community social support,PRO,DS014;DS015;DS019,DS018;DS013,"Gender identity responses; demographics; geography; quality diagnostics | Patient experience; demographics; gender identity/sex questions; geography/practice aggregates | Annual household/individual social, economic, health and family variables",MIXED_ACCESS;OPEN_AGGREGATE;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-001,Minority stress/discrimination,Direct discrimination events,PRO/admin,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-002,Minority stress/discrimination,Anticipated stigma,PRO,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-003,Minority stress/discrimination,Concealment pressure,PRO,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-004,Minority stress/discrimination,Identity-related rejection,PRO,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-005,Minority stress/discrimination,Identity-related violence,PRO/admin,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-006,Minority stress/discrimination,Internalised stigma,PRO,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-007,Minority stress/discrimination,Affirming social support,PRO,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Repeated,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MIN-008,Minority stress/discrimination,Discrimination timing relative to distress,derived,DS018;DS019;DS020,DS015;DS064,"Development, family, mental health, education, peers, social context; linked/genetic modules | Annual household/individual social, economic, health and family variables | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;OPEN_AGGREGATE;PRIMARY_RESEARCH;RESTRICTED_COHORT,PHASE_1_OR_2,Analysis,High,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-001,Marketing/media/advocacy,Commercial advertising impressions,platform/ad archive,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-002,Marketing/media/advocacy,Healthcare provider marketing exposure,digital/public,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-003,Marketing/media/advocacy,Influencer sponsorship exposure,digital,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-004,Marketing/media/advocacy,Advocacy campaign exposure,digital/public,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-005,Marketing/media/advocacy,Mainstream news exposure,digital/PRO,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-006,Marketing/media/advocacy,Entertainment media exposure,digital/PRO,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-007,Marketing/media/advocacy,Message framing category,content coding,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-008,Marketing/media/advocacy,Authority cue presence,content coding,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-009,Marketing/media/advocacy,Emotional framing intensity,content coding,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-010,Marketing/media/advocacy,Targeted versus incidental exposure,platform export,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-011,Marketing/media/advocacy,Engagement response,platform export,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
MKT-012,Marketing/media/advocacy,Commercial conflict/sponsorship disclosure,public records,DS028;DS052;DS053,DS025;DS026;DS029,"Events, article mentions, Global Knowledge Graph, multilingual news features | Newspapers, periodicals, websites and archived digital publications | Full-text newspapers, magazines, wires and metadata",LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE;PUBLIC_API_LIMITED;RESTRICTED_RESEARCH_API,PHASE_2_OR_3,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-001,Healthcare pathway,Date of first healthcare presentation,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-002,Healthcare pathway,Referral source,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-003,Healthcare pathway,Waiting time to specialist assessment,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-004,Healthcare pathway,Pre-referral mental-health care,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-005,Healthcare pathway,Diagnostic framework used,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-006,Healthcare pathway,Assessment duration,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-007,Healthcare pathway,Number/profession of assessors,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-008,Healthcare pathway,MDT review present,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-009,Healthcare pathway,Psychiatric assessment completeness,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-010,Healthcare pathway,Neurodevelopmental assessment completeness,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-011,Healthcare pathway,Differential diagnoses considered,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-012,Healthcare pathway,Biopsychosocial formulation documented,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
HC-013,Healthcare pathway,Validated instruments used,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,"Patient-level NHS datasets; linked national collections | Admissions; outpatients; historical A&E; critical care; diagnoses; procedures | Patient-level contacts; diagnoses; care events; children/adults; autism/LD services | GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Core clinical, assessment, intervention and outcome data across new regional services",RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
