variable_id,domain,canonical_name,candidate_causal_role,measurement_type,unit_or_encoding,temporal_anchor,preferred_source,candidate_primary_source_ids,candidate_secondary_source_ids,access_classes,privacy_class,participant_consent_rule,minimum_quality_gate,missingness_rule,linkage_rule,provenance_required,inference_boundary,acquisition_status
HC-004,Healthcare pathway,Pre-referral mental-health care,Confounder/Exposure,TEMPORAL_NUMERIC,type/duration,Historical,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-005,Healthcare pathway,Diagnostic framework used,Measurement context,MIXED_OR_SOURCE_SPECIFIC,DSM/ICD/version,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-006,Healthcare pathway,Assessment duration,Process variable,TEMPORAL_NUMERIC,hours/sessions,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-007,Healthcare pathway,Number/profession of assessors,Process variable,NUMERIC_OR_SCALE,count/categories,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-008,Healthcare pathway,MDT review present,Process variable,BINARY,yes/no,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-009,Healthcare pathway,Psychiatric assessment completeness,Process variable,NUMERIC_OR_SCALE,domain score,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-010,Healthcare pathway,Neurodevelopmental assessment completeness,Process variable,NUMERIC_OR_SCALE,domain score,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-011,Healthcare pathway,Differential diagnoses considered,Process variable,NUMERIC_OR_SCALE,list/count,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-012,Healthcare pathway,Biopsychosocial formulation documented,Process variable,BINARY,yes/no/quality,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-013,Healthcare pathway,Validated instruments used,Measurement context,TEMPORAL_NUMERIC,instrument/version,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-014,Healthcare pathway,Social-transition advice,Exposure,TEMPORAL_NUMERIC,content/date,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-015,Healthcare pathway,Psychological intervention,Treatment,NUMERIC_OR_SCALE,type/dose,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-016,Healthcare pathway,Endocrine referral,Treatment process,TEMPORAL_NUMERIC,date,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-017,Healthcare pathway,Hormonal treatment exposure,Treatment,TEMPORAL_NUMERIC,drug/dose/date,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-018,Healthcare pathway,Surgical treatment exposure,Treatment,TEMPORAL_NUMERIC,procedure/date,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-019,Healthcare pathway,Consent process completeness,Process variable,NUMERIC_OR_SCALE,audit score,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-020,Healthcare pathway,Follow-up intensity,Process variable,TEMPORAL_NUMERIC,visits/year,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-021,Healthcare pathway,Outcome measurement completeness,Measurement artifact,NUMERIC_OR_SCALE,score,Repeated,EHR,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
HC-022,Healthcare pathway,Treatment discontinuation/change,Outcome,TEMPORAL_NUMERIC,event/date/reason,Repeated,EHR/PRO,DS001;DS002;DS003;DS004;DS061,DS005;DS062,RESTRICTED_LICENSED;RESTRICTED_STUDY;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-001,Clinician,Clinician profession/specialty,Moderator,CATEGORICAL_OR_CODED,categorical,Repeated,workforce data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-002,Clinician,Years of clinical experience,Moderator,TEMPORAL_NUMERIC,years,Repeated,workforce data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-003,Clinician,Gender-service case volume,Moderator,TEMPORAL_NUMERIC,cases/year,Repeated,service data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-004,Clinician,Assessment time available,Process exposure,TEMPORAL_NUMERIC,minutes,Repeated,service data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-005,Clinician,Clinical supervision frequency,Moderator,NUMERIC_OR_SCALE,sessions,Repeated,service data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-006,Clinician,Guideline/service-specification version used,Process exposure,TEMPORAL_NUMERIC,version/date,Repeated,EHR/service,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-007,Clinician,Required-domain completion rate,Process outcome,TEMPORAL_NUMERIC,percentage,Repeated,audit,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-008,Clinician,Diagnostic decision in blinded vignette,Outcome,CATEGORICAL_OR_CODED,categorical,Repeated,research experiment,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-009,Clinician,Treatment recommendation in blinded vignette,Outcome,CATEGORICAL_OR_CODED,categorical,Repeated,research experiment,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-010,Clinician,Decision confidence,Outcome,MIXED_OR_SOURCE_SPECIFIC,0-100,Repeated,research experiment,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-011,Clinician,Inter-rater agreement,Outcome,NUMERIC_OR_SCALE,kappa/ICC,Analysis,derived,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-012,Clinician,Outcome feedback available to clinician,Moderator,BINARY,yes/no,Repeated,service data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-013,Clinician,Training programme exposure,Exposure,TEMPORAL_NUMERIC,programme/date,Repeated,workforce data,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
CLN-014,Clinician,Declared relevant conflict/affiliation,Context variable,MIXED_OR_SOURCE_SPECIFIC,structured,Repeated,public/declaration,DS046;DS058;DS064,DS065;DS045,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
INS-001,Institutional/service,Clinic/service identity,Selection factor,CATEGORICAL_OR_CODED,categorical,Repeated,service data,DS046;DS047;DS061,DS063;DS001,MIXED_ACCESS;OPEN_AGGREGATE;OPEN_CORPUS;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
INS-002,Institutional/service,Service model,Moderator,CATEGORICAL_OR_CODED,categorical,Repeated,service spec,DS046;DS047;DS061,DS063;DS001,MIXED_ACCESS;OPEN_AGGREGATE;OPEN_CORPUS;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
INS-003,Institutional/service,Local pathway version,Exposure,TEMPORAL_NUMERIC,version/date,Repeated,service data,DS046;DS047;DS061,DS063;DS001,MIXED_ACCESS;OPEN_AGGREGATE;OPEN_CORPUS;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
INS-004,Institutional/service,Staffing ratio,Moderator,MIXED_OR_SOURCE_SPECIFIC,FTE/caseload,Repeated,service data,DS046;DS047;DS061,DS063;DS001,MIXED_ACCESS;OPEN_AGGREGATE;OPEN_CORPUS;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
INS-005,Institutional/service,Caseload pressure,Moderator,MIXED_OR_SOURCE_SPECIFIC,cases/FTE,Repeated,service data,DS046;DS047;DS061,DS063;DS001,MIXED_ACCESS;OPEN_AGGREGATE;OPEN_CORPUS;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
